row_type,name,what_learned,local_eqs_hard_modules,market_clearing,region,uses_bilateral_flow_data,validation_objects,relevance_to_nsr_hank,verdict
METHOD,Structural RL (Yang-Wang-Schaab-Moll arXiv:2512.18892),low-dimensional prices as state + learned equilibrium price dynamics,no (prices replace distribution as state),equilibrium-constrained,single-region (+ HANK app with forward-looking Phillips curve),no,equilibrium price-dynamics error / RL loss / OOD,precedent for global neural HA solution with compressed state; not interregional flow network,SUPPORTED_EXISTING_PRECEDENT (global HA solution); PARTIAL_PRECEDENT (for W^L-first route)
METHOD,DeepHAM (Han-Yang-E QE 2026 / arXiv:2112.14377),value/policy functions (distribution approx. by optimal generalized moments),no (replaces household solver),equilibrium,single-region,no,policy/equilibrium error / long-horizon checks,precedent for global neural HA solver; opposite of hard-local-module + learned-links design,PARTIAL_PRECEDENT
METHOD,Master-equation / EMINN (Gu-Lauriere-Merkel-Payne arXiv:2406.13726),value function via neural network after finite-dimensional distribution approximation,no,equilibrium,single-region (+ macro/spatial examples),no,residual / equilibrium error,precedent for continuous-time master-equation neural solving; no interregional flow network,PARTIAL_PRECEDENT
METHOD,Neural HJB (Deep-MacroFin 2408.10368; PINN 2511.20283),value/policy/density via HJB,no,equilibrium,single-region,no,residual / equilibrium error,precedent for continuous-time HJB neural solving; no multi-region links,PARTIAL_PRECEDENT
METHOD,Surrogate / hybrid FD+DL (Kase SSJ+DL HANK),sequence-space operator acceleration,partial,equilibrium,single-region,no,speed + accuracy vs SSJ solver,precedent for solver-anchored surrogate; not learned interregional network,PARTIAL_PRECEDENT
METHOD,Differentiable / implicit equilibrium (2303.14802; 2605.14493 survey),equilibrium mapping / estimation,varies,equilibrium,single-region,no,equilibrium residual / estimation fit,precedent for differentiable equilibrium layers usable in GE embedding stage,PARTIAL_PRECEDENT
METHOD,Spatial / multi-region HA-HANK (EXTERNAL),none verified after removing Owner prior work,unknown,equilibrium,multi-region,unknown,unknown,external spatial/multi-region HA-HANK literature boundary remains open; SSRN 6028234 is OWNER_PRIOR_WORK excluded from this row,UNRESOLVED
METHOD,Owner prior multi-provincial HANK (SSRN 6028234),historical baseline mechanisms,unknown (prior work),equilibrium,multi-region,unknown,unknown,PROJECT_PROVENANCE only; documents historical baseline; NOT external precedent,OWNER_PRIOR_WORK_PROJECT_PROVENANCE
METHOD,Learned migration / gravity networks (Gaskin et al.; Simini et al.),interregional/mobility flow network,n/a (no economic model),none,multi-region,yes (bilateral flows),flow prediction / OOS,precedent for learned interpretable flow models with real bilateral data but NOT embedded in HA/HANK,SUPPORTED_EXISTING_PRECEDENT (learned flow models); PARTIAL_PRECEDENT (for NSR-HANK embedding)
METHOD,Distribution compression / latent-state,distribution/state latent representation,no,varies,single-region,no,reconstruction / equilibrium error,only relevant to later 31-province/message-passing extension,UNRESOLVED
NOVELTY_CLAIM,Learned interpretable W^L inside regional HA/HANK with hard local modules,-,-,-,-,-,-,components exist separately (learned flow models external; multi-region HA/HANK is Owner prior work only); no verified external direct match,PARTIAL_PRECEDENT
NOVELTY_CLAIM,Cross-year shared network parameters + year-specific equilibria,-,-,-,-,-,-,shared-parameter pooled estimation is standard econometrics; Owner year-by-year logic is provenance not external precedent; DL-for-HANK application not found,NO_PRECEDENT_FOUND_IN_BOUNDED_SEARCH
NOVELTY_CLAIM,Flow-supervised identification before GE embedding,-,-,-,-,-,-,pretrain-then-embed is common ML; flow-supervised pretraining for a structural HA/HANK network not found,NO_PRECEDENT_FOUND_IN_BOUNDED_SEARCH
NOVELTY_CLAIM,Hold-out-year + hold-out-pair validation in structural regional HANK,-,-,-,-,-,-,OOS/hold-out is standard in macro-ML; pair-level (O-D) hold-out in a structural regional HANK not found,NO_PRECEDENT_FOUND_IN_BOUNDED_SEARCH
NOVELTY_CLAIM,Separation of observable flow identification from macro-equilibrium fitting,-,-,-,-,-,-,micro-macro consistency / SMM-type discipline exists; specific flow-vs-macro separation for learned networks is partial,PARTIAL_PRECEDENT
