criterion_id,criterion,design_R_assessment,design_W_assessment,evidence_basis
C01,Economic interpretation of the state constraint,R: weak - treats computational truncation b<=b_max as an economic constraint; the b-cap is a truncation not a structural borrowing limit,W: stronger - the W cap is explicitly a truncation; but W-as-production-variable is an economic claim not yet established,accepted DLH-5M constraint classification (DLH_5M_CONSTRAINT_CLASSIFICATION.md); Issue #39 sec 3
C02,Consistency with accepted household accounting,R: consistent - rectangle uses the same drifts; accounting identity mu_W=mu_a+mu_b unaffected,W: consistent and exploits d-cancellation in mu_W more directly; W is the coordinate in which the reallocation control does not appear,accepted DLH-5L Phase A (mu_W identity to machine precision; transfer cancels one-for-one)
C03,Consistency with transfer/rebalancing economics,R: weaker - corner law mu_b<=0 forbids net b accumulation even when a-financed, in tension with the reallocation interpretation,W: stronger - W-face KKT multiplier cancels from the linear transfer FOC; rebalancing free at the cap up to adjustment cost,DLH_5M_JOINT_KKT_BOUNDARY_LAWS.md sec 3.1; accepted DLH-5L reallocation interpretation
C04,Consistency with the accepted a_max-normalized taper,R: consistent - a_max retained as face; taper unchanged,W: consistent - a_max retained; but the slanted W face is NOT taper-stabilized (taper only anchors a near a_max),accepted taper identity r_a*(1-0.1*(a/a_max)^9); geometry of slanted W face
C05,HJB state-constraint/KKT correctness,R: requires full rectangular KKT at every face and the corner (not implemented; current ordering not KKT-equivalent),W: requires KKT at W face and intersections (derived generically; not implemented),DLH_5M_JOINT_KKT_BOUNDARY_LAWS.md; accepted DLH-5K joint_corner_feasibility
C06,Exact HJB/KFE controlled-process matching,R: matches on the rectangle, but the rectangle is not the true unbounded process (outward truncation response),W: must build slanted-face process matching; W1 stencil issues, W2 transforms; not yet established,Issue #39 sec 5; Issue #26-27 HJB<->KFE contract
C07,Generator conservativity feasibility,R: axis-aligned faces - conservative discretization feasible,W: slanted face conservativity hard (W1) or moved to slanted borrowing floor (W2),DLH_5M_GEOMETRY_CANDIDATES.md sec 3
C08,Numerical implementation complexity,R: low - existing tensor lattice; add KKT boundary formulation,W: higher - new domain geometry, W_max, slanted boundary / coordinate transform,DLH_5M_GEOMETRY_CANDIDATES.md
C09,Resolution-robustness risk,R: high - offenders persist across a77/a153 and cross-a total-drift sensitivity remains (16/24 above threshold),W: unknown - W-inwardness established only on pre-frozen 105-state set; other resolutions untested,accepted DLH-5L Phase E (rel_diff_mu_W > 1e-2 on 16/24 aligned pairs)
C10,Risk of creating an artificial wealth cap with economic consequences,R: none - no new cap, but leaves the truncation artifact and its outward response unresolved,W: risk - W_max is an artificial cap; if it binds the stationary distribution it has economic consequences; selection deferred to Owner,Issue #39 sec 9 criterion 10; W_max not chosen in DLH-5M
C11,Compatibility with future multi-region / learned spatial blocks,R: standard rectangle lattice - propagates cleanly,W: non-standard domain - slanted/transformed coordinates must propagate through all downstream modules,roadmap regional/deep-learning sequence (deferred)
C12,Ability to recover an interpretable infinite-domain/truncation limit,R: problematic - the b constraint binds at finite b_max with outward drift; rectangle limit unclear,W: clean W_max->infinity limit IF inwardness persists; not yet proven,accepted DLH-5L interpretation (finite-state evidence, no infinite-domain theorem)
